date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:41:10	12416/12416	---MCZ	200	added ('OK')	application/javascript	etag:W/%223b492b68c1813cfabacaecf1e86886ed%22	https://moonc.net/_next/static/chunks/5177-c35f4eb051e52d2f.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/5177-c35f4eb051e52d2f.js	(from https://moonc.net/)
17:41:10	10109/10109	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b756ffe5cf1a8d8af6f956959bc58ab3%22	https://moonc.net/_next/static/chunks/7148-7495a29bab62a148.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/7148-7495a29bab62a148.js	(from https://moonc.net/)
17:41:11	336541/336541	---MCZ	200	added ('OK')	application/javascript	etag:W/%223f4319c5c9f570621459d5010980828d%22	https://moonc.net/_next/static/chunks/3548-e5586831a724e644.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/3548-e5586831a724e644.js	(from https://moonc.net/)
17:41:11	109807/109807	---MCZ	200	added ('OK')	application/javascript	etag:W/%228d3ebb8ddb54017bdb9786e486178bd2%22	https://moonc.net/_next/static/chunks/3574-222c9bfdedee7189.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/3574-222c9bfdedee7189.js	(from https://moonc.net/)
17:41:11	8715/8715	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e2baa41e1f8e9780ae806fa4adf408a3%22	https://moonc.net/_next/static/chunks/689-2bdc719e15e37074.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/689-2bdc719e15e37074.js	(from https://moonc.net/)
17:41:12	30222/30222	---MCZ	200	added ('OK')	application/javascript	etag:W/%220d338e402f39e64eb8485271050bcd32%22	https://moonc.net/_next/static/chunks/3959-ea85ea88966e7372.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/3959-ea85ea88966e7372.js	(from https://moonc.net/)
17:41:12	12684/12684	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a9e9e3caf8c017e6f35c85280f28c8cb%22	https://moonc.net/_next/static/chunks/9959-9df9118ad88aa05e.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/9959-9df9118ad88aa05e.js	(from https://moonc.net/)
17:41:12	21189/21189	---MCZ	200	added ('OK')	application/javascript	etag:W/%228ce52932ff07fbd669cb104bc0ce4099%22	https://moonc.net/_next/static/chunks/app/page-69d5b3fc5684cb8d.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/page-69d5b3fc5684cb8d.js	(from https://moonc.net/)
17:41:13	57979/57979	---MCZ	200	added ('OK')	application/javascript	etag:W/%2259f2755beae2e42af0dc2b47831f8b53%22	https://moonc.net/_next/static/chunks/2695-21534d184f772866.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/2695-21534d184f772866.js	(from https://moonc.net/)
17:41:13	14228/14228	---MCZ	200	added ('OK')	application/javascript	etag:W/%2222ec8d8dcd4cebbb4e5637416f8259e4%22	https://moonc.net/_next/static/chunks/9158-a39813bee2dbbadc.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/9158-a39813bee2dbbadc.js	(from https://moonc.net/)
17:41:13	17010/17010	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f11c4985b597e9e126b1607ca9d32f70%22	https://moonc.net/_next/static/chunks/2724-27dcaca4a354d4c1.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/2724-27dcaca4a354d4c1.js	(from https://moonc.net/)
17:41:14	33594/33594	---MCZ	200	added ('OK')	application/javascript	etag:W/%2278dc05d1aa0fcfed56b8413964a8ee0b%22	https://moonc.net/_next/static/chunks/app/layout-cdd7bbbb42b59c1c.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/layout-cdd7bbbb42b59c1c.js	(from https://moonc.net/)
17:41:14	112594/112594	---MCZ	200	added ('OK')	application/javascript	etag:W/%22846118c33b2c0e922d7b3a7676f81f6f%22	https://moonc.net/_next/static/chunks/polyfills-42372ed130431b0a.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/polyfills-42372ed130431b0a.js	(from https://moonc.net/)
17:41:15	101659/101659	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:14%20GMT	https://moonc.net/rules	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/rules.html	(from https://moonc.net/)
17:41:15	1019/1019	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Mar%202025%2010:08:50%20GMT	https://moonc.net/_next/image?url=%2Flanguage_icons%2Fen.png&w=48&q=75	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/en9653.png	(from https://moonc.net/)
17:41:15	1149/1149	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Mar%202025%2010:08:49%20GMT	https://moonc.net/_next/image?url=%2Flanguage_icons%2Fes.png&w=48&q=75	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/esaa72.png	(from https://moonc.net/)
17:41:16	803/803	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Mar%202025%2010:08:48%20GMT	https://moonc.net/_next/image?url=%2Flanguage_icons%2Fit.png&w=48&q=75	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/itc3ba.png	(from https://moonc.net/)
17:41:16	790/790	---M--	200	added ('OK')	image/png	date:Sun,%2002%20Mar%202025%2010:08:47%20GMT	https://moonc.net/_next/image?url=%2Flanguage_icons%2Ffr.png&w=48&q=75	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/fr6ffe.png	(from https://moonc.net/)
17:41:17	74123/74123	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:16%20GMT	https://moonc.net/wiki	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/wiki.html	(from https://moonc.net/)
17:41:17	110267/110267	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:17%20GMT	https://moonc.net/announcements/v0.1	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/announcements/v0.html	(from https://moonc.net/)
17:41:18	67891/67891	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Mar%202025%2016:41:17%20GMT	https://moonc.net/knowledgebase	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/knowledgebase.25.delayed	(from https://moonc.net/)
17:41:18	76202/76202	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:18%20GMT	https://moonc.net/announcements	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/announcements.html	(from https://moonc.net/)
17:41:19	70022/70022	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:18%20GMT	https://moonc.net/partners	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/partners.html	(from https://moonc.net/)
17:41:19	67885/67885	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2024%20Mar%202025%2016:41:19%20GMT	https://moonc.net/careers	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/careers.28.delayed	(from https://moonc.net/)
17:41:20	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%2243828e14271c77b87e3ed582dbff9f74%22	https://moonc.net/_next/static/media/55c55f0601d81cf3-s.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:20	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22befd9c0fdfa3d8a645d5f95717ed6420%22	https://moonc.net/_next/static/media/26a46d62cd723877-s.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/26a46d62cd723877-s.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:20	11220/11220	---M--	200	added ('OK')	font/woff2	etag:%22e360c61c5bd8d90639fd4503c829c2dc%22	https://moonc.net/_next/static/media/97e0cb1ae144a2a9-s.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:21	19072/19072	---M--	200	added ('OK')	font/woff2	etag:%22f0b86e7c24f455280b8df606b89af891%22	https://moonc.net/_next/static/media/581909926a08bbc8-s.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/581909926a08bbc8-s.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:21	10280/10280	---M--	200	added ('OK')	font/woff2	etag:%22d54db44de5ccb18886ece2fda72bdfe0%22	https://moonc.net/_next/static/media/df0a9ae256c0569c-s.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/df0a9ae256c0569c-s.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:21	74316/74316	---M--	200	added ('OK')	font/woff2	etag:%22621a07228c8ccbfd647918f1021b4868%22	https://moonc.net/_next/static/media/6d93bde91c0c2823-s.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/6d93bde91c0c2823-s.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:22	48556/48556	---M--	200	added ('OK')	font/woff2	etag:%22d4fe31e6a2aebc06b8d6e558c9141119%22	https://moonc.net/_next/static/media/a34f9d1faa5f3315-s.p.woff2	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/media/a34f9d1faa5f3315-s.p.woff2	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:22	174609/174609	---M--	200	added ('OK')	image/png	etag:%228f31a8bcf123e4dc87d1c509e545b8ae%22	https://moonc.net/spotlight.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/spotlight.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:22	19093/19093	---M--	200	added ('OK')	image/png	etag:%22ddc98736347d8efed96d9fe2d5de79ea%22	https://moonc.net/grid_pattern_light.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/grid_pattern_light.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:23	45205/45205	---M--	200	added ('OK')	image/png	etag:%22c7c14aabd9ab92b510acc47cfd1c6582%22	https://moonc.net/grid_pattern_dark.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/grid_pattern_dark.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:23	278119/278119	---M--	200	added ('OK')	image/png	etag:%2235fa293034a729cd41833a03225a53df%22	https://moonc.net/globe_paper_light.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/globe_paper_light.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:23	278119/278119	---M--	200	added ('OK')	image/png	etag:%2235fa293034a729cd41833a03225a53df%22	https://moonc.net/globe_paper_dark.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/globe_paper_dark.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:24	407510/407510	---M--	200	added ('OK')	image/png	etag:%2272fdf3f4ec897425908f4e6212a6eee5%22	https://moonc.net/globe_paper_large_light.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/globe_paper_large_light.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:24	407510/407510	---M--	200	added ('OK')	image/png	etag:%2272fdf3f4ec897425908f4e6212a6eee5%22	https://moonc.net/globe_paper_large_dark.png	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/globe_paper_large_dark.png	(from https://moonc.net/_next/static/css/ed36eca7722b6547.css)
17:41:25	16719/16719	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e25c1d04d410c8f8b560c1ed12f31ff%22	https://moonc.net/_next/static/chunks/4214-b1d72cf709cdad0e.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/4214-b1d72cf709cdad0e.js	(from https://moonc.net/rules)
17:41:25	18961/18961	---MCZ	200	added ('OK')	application/javascript	etag:W/%22696d5672717691766a483b738e1bfc95%22	https://moonc.net/_next/static/chunks/app/rules/page-0f45c9f691adaadf.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/rules/page-0f45c9f691adaadf.js	(from https://moonc.net/rules)
17:41:26	1140/1140	---MCZ	200	added ('OK')	application/javascript	etag:W/%2210dcb4c0688ec22ebfb96dcd61983793%22	https://moonc.net/_next/static/chunks/0e762574-40250117213c2978.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/0e762574-40250117213c2978.js	(from https://moonc.net/wiki)
17:41:26	10604/10604	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f3ba696498cf1cd583aa4ac2c07ff21d%22	https://moonc.net/_next/static/chunks/app/wiki/page-5d8d75aec8c62da6.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/wiki/page-5d8d75aec8c62da6.js	(from https://moonc.net/wiki)
17:41:27	116091/116091	---MCZ	200	added ('OK')	text/html	date:Mon,%2024%20Mar%202025%2016:41:26%20GMT	https://moonc.net/wiki/boost-beneficios	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/wiki/boost-beneficios.html	(from https://moonc.net/wiki)
17:41:27	18944/18944	---MCZ	200	added ('OK')	application/javascript	etag:W/%224f91d33138b5081545621eb0cd221778%22	https://moonc.net/_next/static/chunks/8538-10abc667bb9c4de3.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/8538-10abc667bb9c4de3.js	(from https://moonc.net/announcements/v0.1)
17:41:28	195/195	---M--	200	added ('OK')	application/javascript	etag:%222865d38d8c7468b57317b8fd23d5a27a%22	https://moonc.net/_next/static/chunks/app/announcements/(es)/v0.1/page-ca97b37882ba8940.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/announcements/(es)/v0.1/page-ca97b37882ba8940.js	(from https://moonc.net/announcements/v0.1)
17:41:28	1563/1563	---MCZ	200	added ('OK')	application/javascript	etag:W/%2286b47d5e6c2b53cc82d79e660beb300e%22	https://moonc.net/_next/static/chunks/8e1d74a4-3d37852a78992d6a.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/8e1d74a4-3d37852a78992d6a.js	(from https://moonc.net/announcements)
17:41:29	13241/13241	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e58efc445a9b60e320ab1cc70b102370%22	https://moonc.net/_next/static/chunks/app/announcements/page-5cca042e3ac5e682.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/announcements/page-5cca042e3ac5e682.js	(from https://moonc.net/announcements)
17:41:29	16814/16814	---MCZ	200	added ('OK')	application/javascript	etag:W/%229700f53f26709c9997a24966c597baae%22	https://moonc.net/_next/static/chunks/1360-852926a132bd7285.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/1360-852926a132bd7285.js	(from https://moonc.net/partners)
17:41:30	237/237	---M--	200	added ('OK')	application/javascript	etag:%224268fa1ae16538615b8369ad2f8a1cb2%22	https://moonc.net/_next/static/chunks/app/partners/page-d93003f3609ef4cc.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/partners/page-d93003f3609ef4cc.js	(from https://moonc.net/partners)
17:41:30	196/196	---M--	200	added ('OK')	application/javascript	etag:%22a1e5919944d0df426ad69b7c17b11324%22	https://moonc.net/_next/static/chunks/app/wiki/boost-beneficios/page-4ebfcdd13bd42709.js	C:/Users/Pablo/Desktop/prueba%202/prueba%202/moonc.net/_next/static/chunks/app/wiki/boost-beneficios/page-4ebfcdd13bd42709.js	(from https://moonc.net/wiki/boost-beneficios)
